Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",-266.225000,-94.750000,135.000000,bottom
"C2","10uF","C_0805_2012Metric",-274.150000,-91.700000,0.000000,bottom
"C3",".1uF","C_0805_2012Metric",-284.675000,-102.250000,90.000000,bottom
"C4",".1uF","C_0805_2012Metric",-274.150000,-112.750000,180.000000,bottom
"C5",".1uF","C_0805_2012Metric",-263.625000,-102.250000,-90.000000,bottom
"C6","22pF","C_0805_2012Metric",-279.744600,-90.794600,45.000000,bottom
"C7","22pF","C_0805_2012Metric",-285.175000,-96.175000,-135.000000,bottom
"C8",".1uF","C_0805_2012Metric",-267.625000,-93.350000,135.000000,bottom
"D1","D_Small","D_SOD-123-Pretty",3.500000,-68.025000,90.000000,bottom
"D2","D_Small","D_SOD-123-Pretty",-15.550000,-68.025000,90.000000,bottom
"D3","D_Small","D_SOD-123-Pretty",-34.600000,-68.025000,90.000000,bottom
"D4","D_Small","D_SOD-123-Pretty",-53.650000,-68.025000,90.000000,bottom
"D5","D_Small","D_SOD-123-Pretty",-72.700000,-68.025000,90.000000,bottom
"D6","D_Small","D_SOD-123-Pretty",-91.750000,-68.025000,90.000000,bottom
"D7","D_Small","D_SOD-123-Pretty",-110.800000,-68.025000,90.000000,bottom
"D8","D_Small","D_SOD-123-Pretty",-129.850000,-68.025000,90.000000,bottom
"D9","D_Small","D_SOD-123-Pretty",-148.900000,-68.025000,90.000000,bottom
"D10","D_Small","D_SOD-123-Pretty",-167.950000,-68.025000,90.000000,bottom
"D11","D_Small","D_SOD-123-Pretty",-187.000000,-68.025000,90.000000,bottom
"D12","D_Small","D_SOD-123-Pretty",-206.050000,-68.000000,90.000000,bottom
"D13","D_Small","D_SOD-123-Pretty",-225.100000,-68.000000,90.000000,bottom
"D14","D_Small","D_SOD-123-Pretty",-262.475000,-67.975000,90.000000,bottom
"D15","D_Small","D_SOD-123-Pretty",-264.975000,-67.975000,90.000000,bottom
"D16","D_Small","D_SOD-123-Pretty",-287.000000,-67.975000,90.000000,bottom
"D17","D_Small","D_SOD-123-Pretty",-306.050000,-67.975000,90.000000,bottom
"D18","D_Small","D_SOD-123-Pretty",-325.100000,-67.975000,90.000000,bottom
